"WK" "CPU_CLOCKS_UNHALTED" "INSTRUCTIONS_RETIRED" "UOPS_RETIRED" "DISPATCH_STALLS" "DISPATCHED_FAST_FPU" "BRANCH_MISPREDICT_RETIRED" "POWER"
3 63883445695 69257543322 72377218707 27664082243 2502260547 526570477 102.0375
3 63936784954 69238274279 72428582878 27660418099 2476642856 531988854 102.1625
3 63876663764 69812611590 72825805112 27340697463 2505411770 539045721 102.2375
3 63962931479 69318684115 72374747619 27793651285 2497930998 518408338 102.2375
3 63841659597 70304476611 73277138102 27180422784 2527129480 537532934 102.3
3 63819056884 69552905870 72671519389 27393319477 2503761561 531305341 102.3375
3 63886284878 69028225702 72156608932 27663893580 2488244053 529349320 102.3125
3 63887309331 68814065320 71929213643 27937965461 2465995620 518804505 102.2125
3 63876661869 69052710266 72216328474 28007795431 2459000933 521601502 102.05
3 63849192659 69800224961 72788510770 27137672320 2543951932 535369020 102.15
3 63855091425 69297678761 72446197273 27754159203 2472641993 527837249 102.0875
3 63874184543 69509667686 72545502948 27598900366 2491243653 532044344 102.1375
3 63865765275 68915800248 71969044237 27792254008 2482352169 530986771 102.1
3 63831395570 69740608306 72817765253 27589613046 2501703813 526806485 101.95
3 63837485299 69535262200 72582221807 27383380102 2529930039 531930390 101.9
3 63897371844 69323080161 72466165920 27763193271 2485679954 523380999 101.8875
3 63946819054 69644028742 72693320640 27456239811 2506860464 529632831 102
3 63853418826 69427195442 72510664657 27563797055 2492245751 539172186 101.975
3 63870439168 69699230582 72726674081 27391884572 2522873277 529845097 101.875
3 63858806513 69732025131 72753528932 27381228019 2524333115 530322783 101.8125
3 63814793371 70310087636 73268303238 27083958590 2557536924 540262334 101.8125
3 63841942130 70509078751 73554644492 26937871304 2557700775 535066277 101.95
3 63934825762 69085063075 72219256163 27929631415 2454868807 526181036 102.0375
3 63874420798 69053528729 72213732791 27823468050 2480564696 523706682 101.925
3 63834213149 68664934304 71748615827 27565380381 2493779297 535062891 101.8625
3 63975866577 68574110949 71764155914 28054144509 2441200118 525862374 101.85
3 63859575720 70558849994 73507708594 27131432454 2551088171 529313162 101.9
3 63991144266 69593829993 72705677077 27433907527 2490128272 532484292 101.975
3 63937962743 69530842624 72652159140 27528530800 2496496049 534335558 102.0125
3 63832552652 70293916556 73242872947 26953066916 2578251116 535596769 101.9625
3 64100519457 69976113194 73030742083 27647817157 2506750866 531019817 101.9
3 63324899754 69677716992 72734793224 28215336454 2376154351 447487851 100.1375
3 55147965255 57406844585 62054683095 32499073834 1776185314 72009685 90.9625
3 17825978205 18524637847 20015954552 11144614024 574048704 21616049 64.6
4 59679454998 66121566350 70230963018 34276438551 1367026920 134332085 95.9125
4 61691832087 72536923426 75848587994 34522438394 1321001872 63569476 100.05
4 62218437449 73071014855 76340129571 34300444201 1359142500 66762471 100.325
4 61609035760 72566896515 75882349732 34411666409 1328511715 64019638 100.4625
4 61379729064 72070480858 75364041182 34903985350 1314225535 63492200 100.4375
4 61771362482 72974203981 76257918485 34091035799 1386804276 67109946 100.475
4 61873629198 73202763958 76473260980 34579148764 1333329828 63098518 100.4125
4 61539879918 72395892879 75632519812 34755063265 1337599561 61033206 100.3625
4 61888712572 72638214805 75974943340 34200302795 1355991129 65046128 100.35
4 62095839033 73085474990 76377861241 34251870302 1351170849 63281388 100.4375
4 61330132055 72849774194 76101162580 34566630274 1334864571 61468081 100.5
4 61580538067 72934104265 76299358213 34322250754 1354097470 64492041 100.45
4 61324568671 71605075007 74836449372 34428894272 1378077375 63641131 100.25
4 61349812604 72366037818 75578276486 34920731140 1333124484 60321464 100.2625
4 61880417146 70194578680 73545682839 34452623017 1360102444 66327993 100.4625
4 61786581837 71077357426 74346788149 34572959662 1361401377 65421863 100.5375
4 61349869197 70211090905 73321630792 34722254859 1334012438 62240038 100.3
4 61683955662 70756169753 73992875980 34331240171 1376007289 64652930 100.2125
4 61899277839 71330078656 74696205341 34216300423 1353227486 64502066 100.3125
4 61762505702 70919306761 74086918879 34977737035 1345007866 61326720 100.4
4 61665718198 71420446965 74628732785 34372434018 1402030434 63907340 100.1625
4 61389470152 71027531903 74407413893 34616734190 1309202750 62820615 100.175
4 61371817894 71402931413 74608366690 34830327788 1346820564 61931891 100.1625
4 59349238040 69791364637 71953294918 35431868515 911395633 48359794 100.5125
4 58171388677 68694488492 69706892142 36333234963 533908989 35730649 101.3625
4 57984888725 68393953854 69398604105 36553171310 509156634 34086096 101.825
4 58266027730 68522714799 69526095965 36578663324 504127441 34194294 102.05
4 57877074759 68346774481 69346516740 36646134542 503305711 34026412 101.825
4 58244033607 68609864705 69609648312 36550915158 503207709 33940568 102.325
4 58379062492 68869394954 69872367261 36620811951 504038043 33876297 102.0375
4 57922887858 68371127597 69371451195 36348129591 529656220 35416317 102.05
4 58429639324 68857301382 69859591678 36413927646 523371029 34901130 102.275
4 58298053783 68697471908 69698854613 36446217784 532225077 35801644 102.4125
4 57967703053 68276492787 69276382979 36439202236 527557109 35708755 102.4
4 56552700918 62565738329 63690916998 36577492874 521508327 35076284 102.35
4 57188286563 66437741683 67778806240 36553200718 504993903 35089986 101.9
4 57352356919 66427147589 67435900133 36345253096 508333323 35366900 101.625
4 57471819949 67011237959 68149728486 36630168292 507921629 36614238 101.925
4 55706059920 61357465307 62591487956 36503223300 505339376 35433065 101.4
4 56054802560 64623551491 65837065425 36463420985 518204169 36025279 101.325
4 56246760864 64292815714 65464095844 37035691313 508340879 35656645 101.7
4 57189760194 66058195869 67118373592 40323657365 441551427 37700981 100.8125
4 57641434661 65458097176 66578772835 37117589643 481159987 37282468 100.75
4 57374261626 67381293439 68382327922 23153410898 245417618 24594203 91.6375
5 62276408052 65343109107 68248086353 31729874059 1754243847 327070349 94.4375
5 62761649917 66297291584 68813706330 31440307751 1795558412 348272076 96.9875
5 62730428880 66576891335 69103730092 31439798102 1827021220 343951427 97.125
5 62630942090 66831278247 69325196584 31255376426 1825570142 349639544 97.2875
5 62525279233 67096585896 69542824393 30945598397 1871956874 343006364 97.425
5 62458364498 67422694189 69949028893 30856377433 1871222912 343426339 97.375
5 63001620101 68311627561 70823750185 30326866455 1924175797 350603555 97.425
5 62895022192 68763838849 71234254301 29974572561 1945404584 353880201 97.5875
5 63051399281 69032478280 71440000118 29844136258 1962333129 357602355 97.7125
5 63245327468 68644500364 71116696031 30040108750 1938466199 355586745 97.8375
5 62775647301 68065596600 70627874140 29984139629 1916609396 364795363 97.8875
