"WK" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "UNHALTED_CLK_CYCLES" "POWER"
5 2739557820 15449347482 14077412705 856240898 114133909953 65700994402 11072019466 15528608616 42463359 6663589 193680156 45003731047 35.49963
5 2710941521 15405495588 14034824137 845738799 113684531637 64242678870 11102020361 15551056523 52703191 6862445 238285574 44657758665 35.74963
5 2846072150 15494313352 14194758917 830531215 115562995099 62983252849 11423730595 15850426042 60823941 6888783 262307108 44405049086 35.74962
5 3004727414 15645800771 14411212760 816581673 118036831761 62994107667 11514220983 15887783653 61102471 6962632 268158976 44440432453 35.62457
5 886244954 4770215339 4323061267 240559501 35760399858 63252685061 11405996939 15691050803 57405869 6948214 265197881 44356331223 35.37465
6 165769356 13764310357 12446410609 404778263 93400986624 124015779561 12245694876 18128525606 44301105 34481356 463343004 75782261913 35.49967
6 181672981 19896257631 17755741475 684817866 127792134433 148041062428 13110250317 20193445011 33976443 37296710 447065329 87617883938 40.12449
6 212535779 20593147487 18170977322 728725941 136146543159 149710783199 12855333713 20423247593 19402136 39779512 381087950 90014501094 42.62459
6 168004561 18707635217 16478934553 679921287 121699794718 143346499965 10670541502 17609096445 18682591 32093754 339391052 83878770849 43.24959
6 141309386 21910970350 19268650908 891571122 136429163967 148752636881 14276978560 21523992722 15411943 63249815 407061644 87036367135 42.24959
6 136203395 21599197848 18962200370 854404294 135497654284 139212492544 14750158846 21804620513 14740093 72281820 389916439 82033515558 41.62459
6 179267166 21792031278 18533418113 881926750 143861588225 128673724009 10654490548 17557977878 6189841 52953763 260270485 74947939892 43.1246
